SEMANA;PLANEJAMENTO HORIZONTAL MATEMÁTICA - EF Anos Finais;;;;;;;;;;;;PLANEJAMENTO HORIZONTAL MATEMÁTICA - EF Anos Iniciais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6º ANO;;;;;;7º ANO;;;;;;8º ANO;;;;;;9º ANO;;;;;;;;;;;;;;;;;;;;;;;;;
;Parte A ;;Parte B ;;Parte C ;;Parte A;;Parte B ;;Parte C;;Parte A ;;Parte B;;Parte C;;Parte A ;;Parte B ;;Parte C ;;;;;;;;;;;;;;;;;;;;;
;2 aulas semanais ;;2 aulas semanais ;;1 aula semanal;;2 aulas semanais ;;2 aulas semanais;;1 aula semanal;;2 aulas semanais;;2 aulas semanais ;;1 aula semanal;;2 aulas semanais;;2 aulas semanais;;1 aula semanal;;;;;;;;;;;;;;;;;;;;;
MÓDULO 1 ;;;;;;;MÓDULO 1;;;;;;MÓDULO 1;;;;;;MÓDULO 1;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Cap 1 - Introdução aos conjuntos – Pertinência, 
inclusão, igualdade e formas descritivas";;Cap 3 - Números naturais;;Cap 5 - As figuras e a Geometria;;Cap 1 - Introdução às raízes;;Cap 3 - Introdução à fatoração;;Cap 4 - Critérios de semelhança;;Cap 1 - Variáveis proporcionais;;Cap 3 - Sistemas de duas equações e duas variáveis;;Cap 5 - Quadriláteros (I) ;;Cap 1 - Equações irracionais;;Cap 3 - Fatoração de expressões do tipo ax³ + bx² + cx + d, com a, b, c, d ? R, a ? 0, conhecida uma de suas raízes;;Cap 4 - Funções de ângulos nos triângulos;;;;;;;;;;;;;;;;;;;;;
;A1;? Pertinência;A13;? Lendo e escrevendo;A25;? Figuras e desenhos - Dimensões das figuras;A1;? Revisão: conjuntos;A13;? Revisão: expressões com inteiros;A25;? Revisão: construção de ângulos;A1;? Revisão: razões e proporções;A13 ;? Revisão: racionalização de denominadores;A25;? Revisão: área de um triângulo qualquer;A1;? Equações do tipo ?A = B (I);A13;? Fator comum em evidência e por agrupamento;A25;? Revisão: semelhança de triângulos e relações métricas no triângulo retângulo ;;;;;;;;;;;;;;;;;;;;
;A2;? Pertinência e inclusão (I);A14;? Posições dos algarismos nos números;;;A2;? Revisão: equações;A14;? Revisão: operações com racionais;;;A2 ;? Revisão: porcentagens;A14 ;? Sentenças abertas e sistemas de sentenças abertas de duas variáveis;;;A2;? Equações do tipo ?A = B (II);A14;? Produtos notáveis (I);;;;;;;;;;;;;;;;;;;;;;
2;A3;? Pertinência e inclusão (II);A15;? Sistemas de numeração;A26;? Usando a régua e o esquadro para construir figuras planas;A3;? Revisão: equações;A15;? Fator comum em evidência;A26;? Critério de semelhança AA;A3 ;? Variáveis diretamente proporcionais - Definição;A15 ;? Método da substituição;A26;"? Alguns fatos interessantes
 sobre quadriláteros ";A3;? Equações do tipo ?A = ?B;A15;? Produtos notáveis (II);A26;? Razões trigonométricas no triângulo retângulo;;;;;;;;;;;;;;;;;;;;
;A4;? Pertinência, inclusão e igualdade ;A16;? Cardinais e ordinais;;;A4;? Raiz quadrada;A16;? Agrupamento;;;A4 ;? Variáveis diretamente proporcionais - Representação no R²;A16 ;? Sistema envolvendo equações do tipo ax²+ by = c;;;A4;? Equações do tipo ?A = - ?B;A16;? Fatorando com coeficientes reais (I);;;;;;;;;;;;;;;;;;;;;;
3;A5;? Forma descritivas;A17;? Posição dos números naturais na reta;A27;? Medindo comprimentos ou distâncias;A5;? Raiz cúbica;A17;? Quadrado da soma ou da diferença;A27;? Critério de semelhança LLL;A5 ;? Variáveis diretamente proporcionais - Cálculos;A17 ;"? Sistemas envolvendo equações
com produto de variáveis";A27 ;? Área de trapézios;A5;Cap 2 - Alguns tipos de inequações;A17;? Fatorando com coeficientes reais (II);A27;? Razões trigonométricas de triângulos notáveis;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;? Revisão: sinal de ax + b;;;;;;;;;;;;;;;;;;;;;;;;
;A6;? Descrevendo situações com formas descritivas ;A18;? Utilização dos algoritmos da soma e da subtração;;;A6;? Raiz de índice par e ímpar;A18;? Produto da soma pela diferença;;;A6 ;? Variáveis inversamente proporcionais - Definição;A18;? Sistemas com equações produto;;;A6;? Revisão: sinal de ax² + bx + c;A18;? Fatoração de trinômio do 2º grau;;;;;;;;;;;;;;;;;;;;;;
